nRun	rsrp1	rsrq1	rsrp2	rsrq2	rsrp3	rsrq3	region	throughput
0	-97.9726	-9.5293	-97.1633	-8.72002	-94.3961	-5.95282	superior	3.956753697199153
1	-96.3151	-8.53851	-92.5126	-4.7359800000000005	-104.042	-16.265	inferior	3.9501703077468835
2	-96.7161	-8.88537	-92.9135	-5.08275	-100.037	-12.2066	central	3.0490650163201116
3	-96.9771	-9.01505	-93.1471	-5.18508	-99.43799999999999	-11.475999999999999	central	2.91243469948454
4	-96.2499	-8.6847	-92.2736	-4.70835	-103.39399999999999	-15.8284	inferior	3.8036558639223004
5	-97.7955	-9.41976	-94.1396	-5.76389	-97.5787	-9.20305	central	2.685615008644057
6	-96.2388	-8.66013	-92.2961	-4.71743	-103.417	-15.8388	inferior	3.8025064141113476
7	-96.2287	-8.76666	-92.2007	-4.73873	-102.545	-15.0832	inferior	3.7612466035553194
8	-98.2986	-9.843860000000001	-94.5194	-6.06466	-96.7369	-8.282160000000001	central	2.5213730087165613
9	-96.2274	-8.63497	-92.3193	-4.7268300000000005	-103.44200000000001	-15.8491	inferior	3.8025064141113476
10	-96.5561	-8.95236	-100.84100000000001	-13.2369	-92.4855	-4.88176	superior	3.7465757136349156
11	-97.2114	-9.10712	-98.8675	-10.7633	-93.4361	-5.33186	superior	3.7837540708041772
12	-96.9298	-9.08783	-99.7655	-11.9235	-92.8991	-5.05713	superior	3.758662488686296
13	-97.4241	-9.18868	-98.3367	-10.1012	-93.7418	-5.50631	superior	3.7992916474179546
14	-97.9711	-9.53732	-97.1998	-8.76598	-94.359	-5.92521	superior	3.9578738114185597
15	-96.9745	-9.0194	-99.4567	-11.5015	-93.1324	-5.177309999999999	superior	3.7638342740741404
16	-97.4231	-9.19218	-98.3494	-10.1185	-93.7298	-5.49885	superior	3.796998711491863
17	-98.7736	-10.282	-95.6474	-7.15583	-95.1986	-6.70705	superior	4.059658654621713
18	-96.5782	-8.951319999999999	-92.5271	-4.90027	-100.742	-13.1151	central	3.259568427324301
19	-97.6018	-9.3511	-93.7699	-5.51917	-98.1244	-9.8736	central	2.7694254001861998
20	-98.4641	-9.954989999999999	-96.1986	-7.68952	-94.9225	-6.413469999999999	superior	4.0227858218427
21	-96.1832	-8.6406	-92.289	-4.74642	-103.118	-15.575	inferior	3.7770529595576647
22	-97.4075	-9.24347	-93.5587	-5.39466	-98.5317	-10.3677	central	2.7583156685613828
23	-96.3156	-8.539719999999999	-92.5113	-4.73549	-104.041	-16.2648	inferior	3.949178491059911
24	-98.3048	-9.80153	-94.7764	-6.27305	-96.4867	-7.98342	central	2.4560601654041117
25	-96.3605	-8.86786	-92.2933	-4.800680000000001	-101.6	-14.1075	inferior	3.673188716754096
26	-98.4621	-9.96979	-96.3171	-7.824739999999999	-94.8013	-6.30894	superior	4.016109233317694
27	-96.7088	-8.89165	-100.079	-12.2621	-92.8866	-5.06945	superior	3.7445688046638557
28	-97.395	-9.28255	-93.4335	-5.32103	-98.6669	-10.5544	central	2.7862279705321615
29	-96.5268	-8.95009	-92.4374	-4.86069	-100.96700000000001	-13.3903	inferior	3.349369676320272
30	-96.7358	-8.86675	-99.921	-12.052	-92.9903	-5.12125	superior	3.743232059401876
31	-97.4021	-9.260710000000001	-98.5917	-10.4503	-93.50299999999999	-5.36163	superior	3.8013576588089215
32	-96.9773	-9.01459	-99.436	-11.4733	-93.1487	-5.18591	superior	3.7619213049470677
33	-96.3399	-8.85056	-92.2883	-4.79895	-101.67	-14.1808	inferior	3.746798836319458
34	-96.3358	-8.84694	-92.2876	-4.79873	-101.684	-14.1951	inferior	3.744345947490113
35	-98.4626	-9.96585	-94.8316	-6.33484	-96.2874	-7.7906699999999995	central	2.2953936747169275
36	-98.3049	-9.80096	-94.7803	-6.276330000000001	-96.4829	-7.97894	central	2.4547185822891486
37	-98.4632	-9.96158	-96.2538	-7.752210000000001	-94.866	-6.3644300000000005	superior	4.010604925718985
38	-97.7819	-9.48317	-97.818	-9.51925	-93.9003	-5.60161	superior	3.9470725334153096
39	-96.3147	-8.82753	-92.2854	-4.79823	-101.75399999999999	-14.2667	inferior	3.7423414259839216
40	-97.7876	-9.45694	-93.9962	-5.66555	-97.72200000000001	-9.39132	central	2.70885707519752
